file_name = data/pg_117.txt | result size = 131705 | Time elapsed: 0.494597 seconds
file_name = data/pg_118.txt | result size = 133718 | Time elapsed: 0.494376 seconds
file_name = data/pg_119.txt | result size = 133767 | Time elapsed: 0.533811 seconds
file_name = data/pg_120.txt | result size = 133822 | Time elapsed: 0.508726 seconds
file_name = data/pg_121.txt | result size = 133924 | Time elapsed: 0.512837 seconds
file_name = data/pg_122.txt | result size = 133973 | Time elapsed: 0.526065 seconds
file_name = data/pg_123.txt | result size = 134035 | Time elapsed: 0.521497 seconds
file_name = data/pg_124.txt | result size = 134268 | Time elapsed: 0.527425 seconds
file_name = data/pg_125.txt | result size = 134547 | Time elapsed: 0.528271 seconds
file_name = data/pg_126.txt | result size = 134752 | Time elapsed: 0.536947 seconds
file_name = data/pg_127.txt | result size = 135211 | Time elapsed: 0.542073 seconds
file_name = data/pg_128.txt | result size = 135469 | Time elapsed: 0.54617 seconds
file_name = data/pg_129.txt | result size = 135792 | Time elapsed: 0.546755 seconds
file_name = data/pg_130.txt | result size = 136067 | Time elapsed: 0.558892 seconds
file_name = data/pg_131.txt | result size = 136303 | Time elapsed: 0.552681 seconds
file_name = data/pg_132.txt | result size = 136482 | Time elapsed: 0.561444 seconds
file_name = data/pg_133.txt | result size = 136827 | Time elapsed: 0.5939 seconds
file_name = data/pg_134.txt | result size = 137101 | Time elapsed: 0.567591 seconds
file_name = data/pg_135.txt | result size = 137250 | Time elapsed: 0.60189 seconds
file_name = data/pg_136.txt | result size = 137498 | Time elapsed: 0.578609 seconds
file_name = data/pg_137.txt | result size = 137723 | Time elapsed: 0.586822 seconds
file_name = data/pg_138.txt | result size = 137894 | Time elapsed: 0.592736 seconds
file_name = data/pg_139.txt | result size = 138087 | Time elapsed: 0.588932 seconds
file_name = data/pg_140.txt | result size = 138251 | Time elapsed: 0.588983 seconds
file_name = data/pg_141.txt | result size = 138542 | Time elapsed: 0.596217 seconds
file_name = data/pg_142.txt | result size = 139057 | Time elapsed: 0.603514 seconds
file_name = data/pg_143.txt | result size = 139295 | Time elapsed: 0.600576 seconds
file_name = data/pg_144.txt | result size = 139585 | Time elapsed: 0.611482 seconds
file_name = data/pg_145.txt | result size = 139739 | Time elapsed: 0.61619 seconds
file_name = data/pg_146.txt | result size = 139868 | Time elapsed: 0.62282 seconds
file_name = data/pg_147.txt | result size = 140022 | Time elapsed: 0.620135 seconds
file_name = data/pg_148.txt | result size = 140186 | Time elapsed: 0.637198 seconds
file_name = data/pg_149.txt | result size = 140304 | Time elapsed: 0.685931 seconds
file_name = data/pg_150.txt | result size = 140444 | Time elapsed: 0.715251 seconds
